team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Sergio Camello\Sergio-Camello,es ESP,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Ivo Grbić\Ivo-Grbic,hr CRO,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Victor Mollejo\Victor-Mollejo,es ESP,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Nehuén Pérez\Nehuen-Perez,ar ARG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Juan Sanabria\Juan-Sanabria,uy URU,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Ricard Sánchez\Ricard-Sanchez,es ESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FW,22,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Yassine Bounou\Yassine-Bounou,ma MAR,GK,29,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Diego Carlos\Diego-Carlos,br BRA,DF,27,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Jesús Navas\Jesus-Navas,es ESP,DF,34,4,4,360,0,2,0,0,1,0,0.00,0.50,0.50,0.00,0.50,0.0,0.0,0.8,0.00,0.20,0.20,0.00,0.20,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,32,4,4,317,1,0,0,0,1,0,0.28,0.00,0.28,0.28,0.28,1.2,1.2,0.0,0.33,0.01,0.34,0.33,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Fernando\Fernando,br BRA,MF,33,3,3,270,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Lucas Ocampos\Lucas-Ocampos,ar ARG,FW,26,4,3,267,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.5,0.36,0.16,0.51,0.36,0.51,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Joan Jordán\Joan-Jordan,es ESP,MF,26,4,3,244,0,1,0,0,2,1,0.00,0.37,0.37,0.00,0.37,0.1,0.1,0.8,0.03,0.29,0.32,0.03,0.32,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Suso\Suso,es ESP,FW,26,4,3,203,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.08,0.27,0.34,0.08,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Marcos Acuña\Marcos-Acuna,ar ARG,DF,28,3,2,253,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Luuk de Jong\Luuk-de-Jong,nl NED,FW,29,4,2,228,2,0,0,0,0,0,0.79,0.00,0.79,0.79,0.79,0.3,0.3,0.3,0.13,0.13,0.26,0.13,0.26,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Munir El Haddadi\Munir-El-Haddadi,es ESP,FW,24,4,2,198,1,1,0,0,0,0,0.45,0.45,0.91,0.45,0.91,0.8,0.8,0.8,0.35,0.35,0.70,0.35,0.70,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Jules Koundé\Jules-Kounde,fr FRA,DF,21,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.15,0.00,0.15,0.15,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Sergi Gómez\Sergi-Gomez,es ESP,DF,28,2,2,143,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Sergio Escudero\Sergio-Escudero,es ESP,DF,30,2,2,107,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.02,0.18,0.20,0.02,0.20,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,23,4,1,131,1,0,0,0,0,0,0.69,0.00,0.69,0.69,0.69,0.6,0.6,0.0,0.38,0.01,0.39,0.38,0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MFDF,28,2,1,103,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Óliver Torres\Oliver-Torres,es ESP,MF,25,3,1,87,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.24,0.10,0.34,0.24,0.34,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Carlos Fernández\Carlos-Fernandez,es ESP,FW,24,2,1,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MF,22,2,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Bryan\Bryan,es ESP,FW,19,1,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Franco Vázquez\Franco-Vazquez,ar ARG,DFFW,31,2,0,11,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Javier Díaz\Javier-Diaz,es ESP,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
